просторија,дан,од блока,до блока,напомена
NP-1,понедељак,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
NP-1,уторак,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
NP-1,среда,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
NP-1,четвртак,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
NP-1,петак,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
NP-2,среда,10,11,Excel наводи 16:00–17:30; блок 11 траје до 17:40.
